Date (Guam),Hour (Guam),Billable Seconds,Requests,Billable Hours
2026-09-05,17,157.7,189,0.0438
2026-09-05,18,137.167,51,0.0381
2026-09-05,19,68.7,8,0.0191
2026-09-05,20,49.5315,7,0.0138
2026-09-05,21,139.323,30,0.0387
2026-09-05,22,63.7,6,0.0177
2026-09-05,23,98.7,20,0.0274
2026-09-06,00,63.3,6,0.0176
2026-09-06,01,64.7,6,0.0180
2026-09-06,02,58.5026,6,0.0163
2026-09-06,03,71,6,0.0197
2026-09-06,04,69,6,0.0192
2026-09-06,05,64.7,6,0.0180
2026-09-06,06,127.7,12,0.0355
2026-09-06,07,864.4,50,0.2401
2026-09-06,08,124.4,18,0.0346
2026-09-06,09,63.0186,6,0.0175
2026-09-06,10,65.5,6,0.0182
2026-09-06,11,63.5,6,0.0176
2026-09-06,12,64.5,6,0.0179
2026-09-06,13,150.007,80,0.0417
2026-09-06,14,68.398,11,0.0190
2026-09-06,15,100.886,12,0.0280
2026-09-06,16,61.8389,6,0.0172
2026-09-06,17,64,6,0.0178
2026-09-06,18,63.2,7,0.0176
2026-09-06,19,52.502,6,0.0146
2026-09-06,20,47.9942,6,0.0133
2026-09-06,21,73.2,6,0.0203
2026-09-06,22,102.5,32,0.0285
2026-09-06,23,72.2,6,0.0201
2026-09-07,00,88.3482,12,0.0245
2026-09-07,01,52.2276,6,0.0145
2026-09-07,02,45.0451,6,0.0125
2026-09-07,03,53.6532,6,0.0149
2026-09-07,04,66.1357,6,0.0184
2026-09-07,05,64.6,6,0.0179
2026-09-07,06,63.7,6,0.0177
2026-09-07,07,63.6,6,0.0177
2026-09-07,08,722.467,33,0.2007
2026-09-07,09,718,9,0.1994
2026-09-07,10,106.294,17,0.0295
2026-09-07,11,1054.87,156,0.2930
2026-09-07,12,963.3,13,0.2676
2026-09-07,13,399.97,21,0.1111
2026-09-07,14,1566.1,9,0.4350
2026-09-07,15,3263.6,59,0.9066
2026-09-07,16,126.2,9,0.0351
2026-09-07,17,68,6,0.0189
2026-09-07,18,73.1,12,0.0203
2026-09-07,19,183.167,13,0.0509
2026-09-07,20,1323.4,18,0.3676
2026-09-07,21,245.2,20,0.0681
2026-09-07,22,2911.36,35,0.8087
2026-09-07,23,3594,13,0.9983
2026-09-08,00,3588.4,28,0.9968
2026-09-08,01,3550.26,14,0.9862
2026-09-08,02,3589.3,27,0.9970
2026-09-08,03,3547,12,0.9853
2026-09-08,04,2254.8,18,0.6263
2026-09-08,05,2050.94,19,0.5697
2026-09-08,06,341.7,30,0.0949
2026-09-08,07,321.222,46,0.0892
2026-09-08,08,1552.8,75,0.4313
2026-09-08,09,2851.9,2163,0.7922
2026-09-08,10,3022.5,1400,0.8396
2026-09-08,11,3542.6,1382,0.9841
2026-09-08,12,3363.5,455,0.9343
2026-09-08,13,3436.9,239,0.9547
2026-09-08,14,3416.2,140,0.9489
2026-09-08,15,1717.77,259,0.4772
2026-09-08,16,220.7,46,0.0613
2026-09-08,17,136.17,15,0.0378
2026-09-08,18,667.735,49,0.1855
2026-09-08,19,238,196,0.0661
2026-09-08,20,581.065,30,0.1614
2026-09-08,21,866.621,25,0.2407
2026-09-08,22,60.4034,6,0.0168
2026-09-08,23,81,6,0.0225
2026-09-09,00,196,12,0.0544
2026-09-09,01,54.8644,6,0.0152
2026-09-09,02,124.5,12,0.0346
2026-09-09,03,126.9,10,0.0352
2026-09-09,04,64.3,6,0.0179
2026-09-09,05,60.4,6,0.0168
2026-09-09,07,16.7525,13,0.0047
2026-09-09,08,650.6,510,0.1807
2026-09-09,09,1493.1,1611,0.4147
2026-09-09,10,94.7,36,0.0263
2026-09-09,11,892.9,550,0.2480
2026-09-09,12,181.4,128,0.0504
2026-09-09,13,1098.3,2167,0.3051
2026-09-09,14,2786.9,2140,0.7741
2026-09-09,15,1076.4,437,0.2990
2026-09-09,16,0.4,0,0.0001
2026-09-09,18,1723.69,267,0.4788
2026-09-09,19,206,3,0.0572
2026-09-09,20,1565.9,69,0.4350
2026-09-09,21,1043.9,5,0.2900
2026-09-10,07,100.3,10,0.0279
2026-09-10,08,1133.6,796,0.3149
2026-09-10,09,1237.8,984,0.3438
2026-09-10,10,845.2,1849,0.2348
2026-09-10,11,43.6,18,0.0121
2026-09-10,12,56.4,18,0.0157
2026-09-10,13,623.58,431,0.1732
2026-09-10,14,213,28,0.0592
2026-09-10,15,0.5,0,0.0001
2026-09-10,16,461.256,243,0.1281
2026-09-10,17,686.744,586,0.1908
2026-09-10,18,0,0,0.0000
2026-09-10,19,11.5791,15,0.0032
2026-09-10,20,3536.62,450,0.9824
2026-09-10,21,2886.6,44,0.8018
2026-09-10,22,0.9,0,0.0002
2026-09-11,07,1315.1,12,0.3653
2026-09-11,08,699.74,97,0.1944
2026-09-11,09,0.9,0,0.0003
2026-09-11,12,357.386,330,0.0993
2026-09-11,13,2232.8,3754,0.6202
2026-09-11,14,980.9,691,0.2725
2026-09-11,15,75.1,41,0.0209
2026-09-11,17,194.4,268,0.0540
2026-09-11,18,13.4,1,0.0037
2026-09-11,20,199.6,94,0.0554
2026-09-11,21,13.4341,1,0.0037
2026-09-12,08,86.7,171,0.0241
2026-09-12,09,23.1617,94,0.0064
2026-09-12,10,7.72526,1,0.0021
2026-09-12,11,11.2372,13,0.0031
2026-09-12,12,465.452,193,0.1293
2026-09-12,13,103.8,57,0.0288
2026-09-13,00,13.2,1,0.0037
2026-09-13,09,36.0761,5,0.0100
2026-09-13,10,10.1,1,0.0028
2026-09-13,11,0.6,0,0.0002
2026-09-13,13,192.1,133,0.0534
2026-09-13,14,92.9,59,0.0258
2026-09-13,15,0.8,0,0.0002
2026-09-13,17,196.8,104,0.0547
2026-09-13,18,8.9429,1,0.0025
2026-09-13,19,1,0,0.0003
2026-09-13,21,23.3,13,0.0065
2026-09-14,07,15,39,0.0042
2026-09-14,08,431.2,251,0.1198
2026-09-14,09,2450.6,3812,0.6807
2026-09-14,10,194,65,0.0539
2026-09-14,11,67.2,63,0.0187
2026-09-14,12,28.4812,17,0.0079
2026-09-14,13,244.4,183,0.0679
2026-09-14,14,702.3,15,0.1951
2026-09-14,17,368.2,635,0.1023
2026-09-14,18,34.3,10,0.0095
2026-09-14,19,13.3,11,0.0037
2026-09-14,21,19.5,17,0.0054
2026-09-14,23,41.8,13,0.0116
2026-09-15,08,0.4,3,0.0001
2026-09-15,09,94.5061,303,0.0263
2026-09-15,10,56.1684,68,0.0156
2026-09-15,11,11.6,13,0.0032
2026-09-15,12,1.2,0,0.0003
2026-09-15,13,164,428,0.0456
2026-09-15,14,90.1,38,0.0250
2026-09-15,16,13.3,1,0.0037
2026-09-15,19,182.2,186,0.0506
2026-09-15,20,12.6,6,0.0035
2026-09-15,21,0,0,0.0000
2026-09-16,07,0,14,0.0000
2026-09-16,08,1273.5,2356,0.3538
2026-09-16,09,1391,351,0.3864
2026-09-16,10,51.909,20,0.0144
2026-09-16,11,881.7,965,0.2449
2026-09-16,12,261.334,124,0.0726
2026-09-16,13,21,5,0.0058
2026-09-16,14,1.2,0,0.0003
2026-09-16,15,8.4,5,0.0023
2026-09-16,16,150.658,251,0.0418
2026-09-16,17,10.6,2,0.0029
2026-09-16,18,920.9,1658,0.2558
2026-09-16,19,42.7,5,0.0119
2026-09-17,09,10.5204,17,0.0029
2026-09-17,10,278,315,0.0772
2026-09-17,11,11.5,1,0.0032
2026-09-17,13,111.3,74,0.0309
2026-09-17,14,3.2,4,0.0009
2026-09-17,18,181.6,387,0.0504
2026-09-17,19,2626.7,1899,0.7296
2026-09-17,20,2220.32,19,0.6168
2026-09-17,21,8.6,3,0.0024
2026-09-18,05,18.1596,5,0.0050
2026-09-18,08,138.3,46,0.0384
2026-09-18,09,161.4,1,0.0448
2026-09-18,10,221.6,38,0.0616
2026-09-18,11,0.9,0,0.0003
2026-09-18,12,6.96492,1,0.0019
2026-09-18,13,0,0,0.0000
2026-09-18,15,121.3,85,0.0337
2026-09-18,18,21.3157,13,0.0059
2026-09-18,19,3.86218,11,0.0011
2026-09-18,20,34,11,0.0094
2026-09-18,21,0.9,0,0.0002
2026-09-18,23,8.92878,12,0.0025
2026-09-19,12,11.6,3,0.0032
2026-09-19,14,227.1,89,0.0631
2026-09-19,15,0.4,0,0.0001
