Date (Guam),Hour (Guam),Billable Seconds,Requests,Billable Hours
2026-09-05,17,157.7,189,0.0438
2026-09-05,18,137.167,51,0.0381
2026-09-05,19,68.7,8,0.0191
2026-09-05,20,49.5315,7,0.0138
2026-09-05,21,139.323,30,0.0387
2026-09-05,22,63.7,6,0.0177
2026-09-05,23,98.7,20,0.0274
2026-09-06,00,63.3,6,0.0176
2026-09-06,01,64.7,6,0.0180
2026-09-06,02,58.5026,6,0.0163
2026-09-06,03,71,6,0.0197
2026-09-06,04,69,6,0.0192
2026-09-06,05,64.7,6,0.0180
2026-09-06,06,127.7,12,0.0355
2026-09-06,07,864.4,50,0.2401
2026-09-06,08,124.4,18,0.0346
2026-09-06,09,63.0186,6,0.0175
2026-09-06,10,65.5,6,0.0182
2026-09-06,11,63.5,6,0.0176
2026-09-06,12,64.5,6,0.0179
2026-09-06,13,150.007,80,0.0417
2026-09-06,14,68.398,11,0.0190
2026-09-06,15,100.886,12,0.0280
2026-09-06,16,61.8389,6,0.0172
2026-09-06,17,64,6,0.0178
2026-09-06,18,63.2,7,0.0176
2026-09-06,19,52.502,6,0.0146
2026-09-06,20,47.9942,6,0.0133
2026-09-06,21,73.2,6,0.0203
2026-09-06,22,102.5,32,0.0285
2026-09-06,23,72.2,6,0.0201
2026-09-07,00,88.3482,12,0.0245
2026-09-07,01,52.2276,6,0.0145
2026-09-07,02,45.0451,6,0.0125
2026-09-07,03,53.6532,6,0.0149
2026-09-07,04,66.1357,6,0.0184
2026-09-07,05,64.6,6,0.0179
2026-09-07,06,63.7,6,0.0177
2026-09-07,07,63.6,6,0.0177
2026-09-07,08,722.467,33,0.2007
2026-09-07,09,718,9,0.1994
2026-09-07,10,106.294,17,0.0295
2026-09-07,11,1054.87,156,0.2930
2026-09-07,12,963.3,13,0.2676
2026-09-07,13,399.97,21,0.1111
2026-09-07,14,1566.1,9,0.4350
2026-09-07,15,3263.6,59,0.9066
2026-09-07,16,126.2,9,0.0351
2026-09-07,17,68,6,0.0189
2026-09-07,18,73.1,12,0.0203
2026-09-07,19,183.167,13,0.0509
2026-09-07,20,1323.4,18,0.3676
2026-09-07,21,245.2,20,0.0681
2026-09-07,22,2911.36,35,0.8087
2026-09-07,23,3594,13,0.9983
2026-09-08,00,3588.4,28,0.9968
2026-09-08,01,3550.26,14,0.9862
2026-09-08,02,3589.3,27,0.9970
2026-09-08,03,3547,12,0.9853
2026-09-08,04,2254.8,18,0.6263
2026-09-08,05,2050.94,19,0.5697
2026-09-08,06,341.7,30,0.0949
2026-09-08,07,321.222,46,0.0892
2026-09-08,08,1552.8,75,0.4313
2026-09-08,09,2851.9,2163,0.7922
2026-09-08,10,3022.5,1400,0.8396
2026-09-08,11,3542.6,1382,0.9841
2026-09-08,12,3363.5,455,0.9343
2026-09-08,13,3436.9,239,0.9547
2026-09-08,14,3416.2,140,0.9489
2026-09-08,15,1717.77,259,0.4772
2026-09-08,16,220.7,46,0.0613
2026-09-08,17,136.17,15,0.0378
2026-09-08,18,667.735,49,0.1855
2026-09-08,19,238,196,0.0661
2026-09-08,20,581.065,30,0.1614
2026-09-08,21,866.621,25,0.2407
2026-09-08,22,60.4034,6,0.0168
2026-09-08,23,81,6,0.0225
